parse_date	provider	provider_id	name	price	original_price	hidden_price	URL
2021-10-06 04:02:00	bol	9300000003421649	Little Dutch Treinbaan XL - Starterkit	59.95			https://bol.com/nl/nl/p/little-dutch-treinbaan-xl-starterkit/9300000003421649/
2021-10-06 04:02:00	bol	9200000132814360	Little Dutch Speelgoed Snijgroente	14.99			https://bol.com/nl/nl/p/little-dutch-speelgoed-snijgroente/9200000132814360/
2021-10-06 04:02:00	bol	9200000111009145	Little Dutch Houten Poppenhuis	99.95			https://bol.com/nl/nl/p/little-dutch-houten-poppenhuis/9200000111009145/
2021-10-06 04:02:00	bol	9300000009222297	Wagenspanner Little Goose - Little Dutch	20.45			https://bol.com/nl/nl/p/wagenspanner-little-goose-little-dutch/9300000009222297/
2021-10-06 04:02:00	bol	9300000006885069	Little Dutch Pluche Knuffelpop Evi	15.95			https://bol.com/nl/nl/p/little-dutch-pluche-knuffelpop-evi/9300000006885069/
2021-10-06 04:02:00	bol	9300000009222264	Little Dutch Blokkenkar - Wild Flowers	44.25			https://bol.com/nl/nl/p/little-dutch-blokkenkar-wild-flowers/9300000009222264/
2021-10-06 04:02:00	bol	9200000103301917	Little Dutch Pluche Knuffelpop Rosa - 35 cm	14.95			https://bol.com/nl/nl/p/little-dutch-pluche-knuffelpop-rosa-35-cm/9200000103301917/
2021-10-06 04:02:00	bol	9200000109861879	Little Dutch Houten Werkbank - Grijs/Mint	99.99			https://bol.com/nl/nl/p/little-dutch-houten-werkbank-grijs-mint/9200000109861879/
2021-10-06 04:02:00	bol	9300000024291116	Little Dutch Badbekers Bademmertjes Gans Little Goose 4-delig	12.99			https://bol.com/nl/nl/p/little-dutch-badbekers-bademmertjes-gans-little-goose-4-delig/9300000024291116/
2021-10-06 04:02:00	bol	9200000081014943	Dettol Magic Foam Navulling Vanille - Voordeelverpakking - 6 x 200 ml	17.66			https://bol.com/nl/nl/p/dettol-magic-foam-navulling-vanille-voordeelverpakking-6-x-200-ml/9200000081014943/
2021-10-06 04:02:00	bol	9300000033015839	RGB High-End Game PC / Computer - Ryzen 5 5600X - RTX 3070 - 16GB RAM - 1TB SSD (M.2 NVMe) - REV200	1799.0			https://bol.com/nl/nl/p/rgb-high-end-game-pc-computer-ryzen-5-5600x-rtx-3070-16gb-ram-1tb-ssd-rev200/9300000033015839/
